Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title
308,ともに,WANIMA,2018,https://www.youtube.com/watch?v=96IPIQjohZ4,f29f69df30c20557e594a8179886a7a3d496654bf765d3743ce0beca3c6d266c,Tomoni
307,なごり雪 （シングルバージョン）,Iruka,2020,https://www.youtube.com/watch?v=xuslPcCOkKY,47f213c99fd5d0782c64a1d4f43f967b770ab6fb82efde9ef5524d28d0ffe9ac,なごり雪 （シングルバージョン）
306,北酒場,Takashi Hosokawa,2025,https://www.youtube.com/watch?v=V7E3kn1Y64A,db33cc99607210156d4cff79152c12bc87e2420885cc9c6edfa94c3ec7ccf776,北酒場
305,チャンピオン,ALICE,1979,https://www.youtube.com/watch?v=7e7m6hGO-as,3ffd1dfec2d75f819c59aacef908194d7668e93cb59d5b8990c6109caad9052a,Champion
304,Last Christmas,Wham!,1984,https://www.youtube.com/watch?v=IPtNMeBPStc,ec0a56d04f6385108ee0ad8e17335ac0635d96845b98777d6abe090b2f57fa6c,Last Christmas
303,君といつまでも,Yuzo Kayama,2001,https://www.youtube.com/watch?v=DwyK74t4CTk,ba4ade21fbae35ec814e0e15951966dcc955336c29761459132c3abf0e2414a9,Kayama Yuzo (1982) Kimi to Itsumademo
302,神田川 (シングルバージョン),Kaguyahime,2010,https://www.youtube.com/watch?v=v7NV8OjeyvM,f84815d522c0910791736e927d97ae5f4da67431389a130d70ee92b5e469315f,神田川 (シングルバージョン)
301,Habit,SEKAI NO OWARI,2022,https://www.youtube.com/watch?v=9Fqt9EkWMoY,66e984f23cdbd45f12276eb906500b8da14e5bc0d8aacd26f9f47ed3629a4d4b,Habit
300,I LOVE YOU,Yutaka Ozaki,1983,https://www.youtube.com/watch?v=fqEPDoI_a68,66d03c17ab2f459fc7501179104fef39f5e1f03f193a94bedb3f5a9770c2569f,I Love You
299,青いベンチ,Sasuke,0,https://www.youtube.com/watch?v=bgTSbXJpnjk,30e6b0abb307fcfb68e8a8cecf866168909cfbb409fde6e6fde18b939f0f6ce4,青いベンチ
298,フレンズ,レベッカ,1985,https://www.youtube.com/watch?v=8kxEy-Ehy4k,2cbfa21fecb8c04fbeca89c5b50dcb70eb95390608cac873618f3ec446f7b5a0,Friends
297,異邦人,Saki Kubota,2002,https://www.youtube.com/watch?v=rIpoNuWN1yw,13bc9410a65cd2089a2e3b7372a1b520f6d1544cecd47abdcf9235ef8cf798e9,Ihojin
296,潮騒のメモリー,天野春子（小泉今日子）,2013,https://www.youtube.com/watch?v=IgiKFv_lTLY,e792c10a1506e1494cd60daf3679709c42a9a4779ad563ab0e3f546c2f10f483,Shiosai no Memory
295,伊勢佐木町ブルース,Mina Aoe,2009,https://www.youtube.com/watch?v=KUM_U2lNlXI,caeefb13be8cfc52bc16baac7b0066536132d68090d4f99d40e2249e04e95503,伊勢佐木町ブルース
294,猫,DISH//,2017,https://www.youtube.com/watch?v=l1ky3XPBdBE,5c35e5b58a87366c9282a18256767e832db13d1cfb243b8f64268ce60ec6c597,Neko
293,シュガーソングとビターステップ,UNISON SQUARE GARDEN,2016,https://www.youtube.com/watch?v=mFNFmnYio90,d0bec138cebbe63dfabadba2bf6b38472907ad2fd2cbca8ac9cbc85108c8f2f5,Sugar Song To Bitter Step
292,NIGHT DANCER,imase,2022,https://www.youtube.com/watch?v=0t0HtFYjcU8,3ea270537377c7eaaa7e2f1f42d6ebd9ae7ce1c8914c2580ae81867d22ca1fc6,NIGHT DANCER
291,第ゼロ感,10-FEET,2022,https://www.youtube.com/watch?v=-eUYBNIntTI,6e1078591f5615fba7bfd6ee443ccf63f8deb65609d864251eaee40a75d95b6a,Dai Zero Kan
290,ビリミリオン,Yuuri,2023,https://www.youtube.com/watch?v=fzvShDD9RGg,ffd30d0d69237ef7f6c1ee1ef5caae725ad4ce7ef6ff3312a21ef9581f9d249d,Billimillion
289,MARIONETTE,BOØWY,1987,https://www.youtube.com/watch?v=gjHu5MSn4MU,bfbad2c8d51e1e96f88d79c052b35045525d4097fbf6eda692a59f76de570da5,Marionette
288,小さな恋のうた,MONGOL800,2001,https://www.youtube.com/watch?v=JoJ6lnF07U4,6c8f7c95f3afcf60dfc17d81cb5bf1023bfd6b0264114af49bd760191aad38d5,小さな恋のうた
287,Let It Go - Japanese Version,Takako Matsu,2014,https://www.youtube.com/watch?v=UHdNb_0niJI,883ee109a4c4d797254ad121955185a9ac2d197fd4d52b90de109bc8c555d719,Let It Go (Japanese Version)
286,Livin' On A Prayer,Bon Jovi,1986,https://www.youtube.com/watch?v=YBdyc1WDlBQ,d67096569eeb7dfafb6e2cf51d7a490d39f22f1aa00b5b548ab4b92884f4344d,Livin' On A Prayer
285,Lemon,Kenshi Yonezu,2020,https://www.youtube.com/watch?v=3NNhrqHZqlI,5f8468856836cc64394e16ef4bde7d7622e160b574b45c263dde7b0f74ae9822,Lemon
284,昴-すばる-,Shinji Tanimura,1995,https://www.youtube.com/watch?v=drsQXkKmNbI,7f193b20fa494c93f74668b96d1d9c53659c347cfdeecb4302fab3660d1ba82c,昴-すばる-
283,I'm a mess,MY FIRST STORY,2021,https://www.youtube.com/watch?v=PAEgjePd3r8,4a81bf8953463373b38af8a677fb736daf96cf8508232a72733ce04463597e38,I'm a mess
282,晴る,ヨルシカ,2024,https://www.youtube.com/watch?v=PXkHAlskFAM,97d83ef2582795de5af3b125a30acc01b53bf8a07db7db09d2a1e76199927608,Sunny
281,セーラー服と機関銃,Hiroko Yakushimaru,2011,https://www.youtube.com/watch?v=8L7ddI-Crh8,86db615e108b3fd28303d476e0c43907e5088430ea344ee1aa025d2b24a1352a,Sailor Fukuto Kikanju
280,飾りじゃないのよ涙は,Akina Nakamori,1994,https://www.youtube.com/watch?v=nJdQOYjzPR0,54b4b498e4ad576d8764f55238d8cfdab621633430c4d81df44b7b1d7358652a,Kazari Ja Nai Noyo Namida Wa
279,ギザギザハートの子守唄,The Checkers,1983,https://www.youtube.com/watch?v=dvbjQoX9p6o,823cfbbad82f20cf45c1639f19c965cb60e643a9d845c3b31b1c9c4bb0f580ca,ギザギザハートの子守唄
278,お祭りマンボ,Hibari Misora,2012,https://www.youtube.com/watch?v=qIY2oB3YGIs,56327c50ca00c641165c8cfcb1e5a28b8c3acfec7ecb4f25165893ac302aa724,お祭りマンボ
277,Born This Way,Lady Gaga,2011,https://www.youtube.com/watch?v=fn8JP4rUP2I,d53c9b880a405420a4481ed9e016e7f0f81576c77768b62553deb0ff3580812a,Born This Way
276,CAT'S EYE,Anri,1988,https://www.youtube.com/watch?v=yiUuVRBaCy0,ea5bd6f5f12ffe590b275151e698eb45b3ed24f2d7336df0e3509915540dce46,CAT'S EYE
